[header]
width=16
height=16
tilewidth=16
tileheight=16
orientation=orthogonal

[tilesets]
tileset=../cs3113/assets/sprite_sheets/arne_sprites.png,16,16,0,0

[layer]
type=Tile Layer 1
data=
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,
21,0,0,0,0,0,0,0,0,0,0,0,4,4,4,21,
21,0,0,0,0,0,0,0,0,0,0,0,4,4,4,21,
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33

